City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
2,2,Masallatah,LY,32.62,14.0,76.73,84,60,11.3,broken clouds
7,7,Drumheller,CA,51.46,-112.71,78.01,36,61,6.51,broken clouds
9,9,Bubaque,GW,11.28,-15.83,80.71,82,98,10.18,overcast clouds
12,12,Wanning,CN,18.8,110.4,81.84,82,99,8.68,overcast clouds
18,18,Kalianget,ID,-7.05,113.93,81.3,71,19,14.07,few clouds
26,26,Isangel,VU,-19.55,169.27,80.6,94,75,4.81,broken clouds
27,27,Lazaro Cardenas,MX,17.96,-102.2,82.8,83,34,5.14,light rain
31,31,Ponta Do Sol,PT,32.67,-17.1,75.2,64,20,16.11,few clouds
36,36,Kavieng,PG,-2.57,150.8,76.78,92,100,10.78,heavy intensity rain
38,38,Bandiagara,ML,14.35,-3.61,80.6,65,21,8.25,few clouds
39,39,Vaini,TO,-21.2,-175.2,82.4,74,20,8.05,few clouds
41,41,Alofi,NU,-19.06,-169.92,80.6,65,40,17.22,scattered clouds
42,42,Honiara,SB,-9.43,159.95,86.0,74,90,8.05,overcast clouds
45,45,Faanui,PF,-16.48,-151.75,76.87,79,15,18.32,few clouds
46,46,Avarua,CK,-21.21,-159.78,77.0,65,6,8.05,clear sky
47,47,Houma,US,29.6,-90.72,81.0,83,40,13.87,moderate rain
51,51,North Battleford,CA,52.78,-108.28,75.2,33,1,11.41,clear sky
54,54,Korla,CN,41.76,86.15,82.99,60,0,2.66,clear sky
56,56,Mazagao,BR,-0.12,-51.29,77.32,89,7,6.69,light rain
57,57,Mahibadhoo,MV,3.78,72.97,82.71,66,80,1.54,broken clouds
59,59,Jamestown,US,42.1,-79.24,79.0,69,1,4.7,clear sky
64,64,Methoni,GR,36.82,21.7,81.0,60,0,7.05,clear sky
65,65,Bac Lieu,VN,9.29,105.72,81.0,82,67,6.53,broken clouds
69,69,Saint Anthony,US,45.02,-93.22,89.01,45,5,6.93,clear sky
71,71,Mayo,US,38.89,-76.51,84.2,70,1,3.36,clear sky
78,78,Hirado,JP,33.36,129.55,90.0,83,20,11.41,few clouds
80,80,Port Blair,IN,11.67,92.75,81.21,83,99,8.34,overcast clouds
81,81,Lethem,GY,3.38,-59.8,77.27,83,76,4.18,light rain
87,87,Atuona,PF,-9.8,-139.03,78.26,78,2,15.46,light rain
92,92,Kapaa,US,22.08,-159.32,87.8,62,20,14.99,few clouds
93,93,Vaitape,PF,-16.52,-151.75,77.68,77,15,18.41,few clouds
95,95,Lompoc,US,34.64,-120.46,77.0,69,1,12.75,clear sky
97,97,Nola,IT,40.92,14.53,77.0,88,20,1.12,few clouds
99,99,Nabire,ID,-3.37,135.48,76.59,84,99,3.91,light rain
104,104,Butaritari,KI,3.07,172.79,83.25,68,68,8.08,broken clouds
106,106,Victoria,HK,22.29,114.16,84.99,83,18,8.01,few clouds
107,107,Bengkulu,ID,-3.8,102.27,75.88,85,99,4.27,overcast clouds
108,108,Garden City,US,42.33,-83.33,87.8,45,20,10.29,few clouds
113,113,Hithadhoo,MV,-0.6,73.08,82.62,79,70,12.93,light rain
116,116,Naze,JP,28.37,129.48,87.8,79,75,20.8,broken clouds
117,117,Saint-Georges,GD,12.06,-61.75,84.2,83,20,8.7,few clouds
121,121,Buala,SB,-8.14,159.59,83.46,74,95,6.49,light rain
122,122,Matara,LK,5.95,80.54,77.13,88,45,4.14,scattered clouds
125,125,San Andres,CO,12.58,-81.7,86.0,74,40,5.82,scattered clouds
128,128,Havelock,US,34.88,-76.9,78.8,83,40,6.93,light rain
131,131,Qeshm,IR,26.96,56.27,89.6,75,20,6.93,haze
133,133,Karratha,AU,-20.74,116.85,81.0,23,48,2.82,scattered clouds
134,134,Gardendale,US,33.66,-86.81,86.0,58,75,6.93,broken clouds
141,141,Surt,LY,31.21,16.59,78.49,83,0,6.6,clear sky
143,143,Bontang,ID,0.13,117.5,78.62,83,29,4.0,scattered clouds
144,144,Tezu,IN,27.92,96.17,77.04,78,100,2.48,overcast clouds
145,145,Sarakhs,IR,36.54,61.16,78.8,47,0,2.24,clear sky
146,146,Bethel,US,41.37,-73.41,80.6,57,1,6.93,clear sky
147,147,Aswan,EG,24.09,32.91,83.77,26,0,5.28,clear sky
152,152,Pathein,MM,16.78,94.73,76.8,93,100,3.27,light rain
154,154,Hobyo,SO,5.35,48.53,75.51,78,35,22.7,scattered clouds
158,158,Virginia Beach,US,36.85,-75.98,86.0,66,75,11.41,broken clouds
159,159,Rosetta,EG,31.4,30.42,78.8,78,0,3.36,clear sky
160,160,Kalmunai,LK,7.42,81.82,78.04,80,18,9.17,few clouds
163,163,Sri Aman,MY,1.24,111.46,77.0,94,100,0.65,overcast clouds
166,166,Vanimo,PG,-2.67,141.3,77.92,85,100,3.94,moderate rain
