City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nikolskoye,RU,59.7,30.79,62.01,87,20,4.47,few clouds
1,Barrow,US,71.29,-156.79,42.8,81,90,9.17,overcast clouds
2,Masallatah,LY,32.62,14.0,76.73,84,60,11.3,broken clouds
3,Lodja,CD,-3.48,23.43,69.76,91,100,2.59,overcast clouds
4,Sao Joao Da Barra,BR,-21.64,-41.05,64.89,72,3,11.61,clear sky
5,Qaanaaq,GL,77.48,-69.36,36.5,88,100,2.93,light rain
6,Ponta Delgada,PT,37.73,-25.67,71.6,88,20,4.7,few clouds
7,Drumheller,CA,51.46,-112.71,78.01,36,61,6.51,broken clouds
8,Albany,US,42.6,-73.97,71.01,91,23,3.36,light rain
9,Bubaque,GW,11.28,-15.83,80.71,82,98,10.18,overcast clouds
10,Tara,RU,56.89,74.37,47.44,98,32,4.88,scattered clouds
11,Bluff,NZ,-46.6,168.33,55.99,81,27,8.01,scattered clouds
12,Wanning,CN,18.8,110.4,81.84,82,99,8.68,overcast clouds
13,Roald,NO,62.58,6.13,48.2,81,71,11.41,light rain
14,Punta Arenas,CL,-53.15,-70.92,33.8,80,75,23.04,shower sleet
15,Qiqihar,CN,47.34,123.97,67.87,92,100,5.88,light rain
16,Lebu,CL,-37.62,-73.65,50.94,90,100,18.03,light rain
17,Mataura,NZ,-46.19,168.86,55.99,81,12,8.01,few clouds
18,Kalianget,ID,-7.05,113.93,81.3,71,19,14.07,few clouds
19,Tetouan,MA,35.57,-5.37,73.4,88,75,5.82,broken clouds
20,Chuy,UY,-33.7,-53.46,53.62,85,0,11.25,clear sky
21,Okha,RU,53.57,142.95,60.46,67,2,3.49,clear sky
22,Leningradskiy,RU,69.38,178.42,44.26,86,98,12.62,overcast clouds
23,Kerteminde,DK,55.45,10.66,61.0,90,80,16.82,broken clouds
24,Port-Cartier,CA,50.03,-66.87,57.2,82,75,5.82,shower rain
25,Saint-Joseph,RE,-21.37,55.62,64.4,63,24,4.7,few clouds
26,Isangel,VU,-19.55,169.27,80.6,94,75,4.81,broken clouds
27,Lazaro Cardenas,MX,17.96,-102.2,82.8,83,34,5.14,light rain
28,East London,ZA,-33.02,27.91,59.45,76,20,7.54,few clouds
29,Okhotsk,RU,59.38,143.3,53.98,62,38,4.0,scattered clouds
30,Hobart,AU,-42.88,147.33,50.0,65,20,10.29,few clouds
31,Ponta Do Sol,PT,32.67,-17.1,75.2,64,20,16.11,few clouds
32,Busselton,AU,-33.65,115.33,44.01,86,0,5.01,clear sky
33,Esperance,AU,-33.87,121.9,48.2,100,64,9.17,broken clouds
34,Vestmannaeyjar,IS,63.44,-20.27,51.96,76,64,4.41,broken clouds
35,Beloha,MG,-25.17,45.05,65.28,77,0,6.2,clear sky
36,Kavieng,PG,-2.57,150.8,76.78,92,100,10.78,heavy intensity rain
37,Walvis Bay,NA,-22.96,14.51,53.01,93,0,11.41,clear sky
38,Bandiagara,ML,14.35,-3.61,80.6,65,21,8.25,few clouds
39,Vaini,TO,-21.2,-175.2,82.4,74,20,8.05,few clouds
40,Fort Nelson,CA,58.81,-122.7,59.0,82,90,5.82,overcast clouds
41,Alofi,NU,-19.06,-169.92,80.6,65,40,17.22,scattered clouds
42,Honiara,SB,-9.43,159.95,86.0,74,90,8.05,overcast clouds
43,Chalus,IR,36.66,51.42,66.2,100,90,4.7,overcast clouds
44,Chokurdakh,RU,70.63,147.92,36.66,81,100,10.56,overcast clouds
45,Faanui,PF,-16.48,-151.75,76.87,79,15,18.32,few clouds
46,Avarua,CK,-21.21,-159.78,77.0,65,6,8.05,clear sky
47,Houma,US,29.6,-90.72,81.0,83,40,13.87,moderate rain
48,Stropkov,SK,49.2,21.65,60.01,99,54,4.16,broken clouds
49,Tieling,CN,42.29,123.84,67.17,95,100,6.04,moderate rain
50,Alice Springs,AU,-23.7,133.88,60.8,29,0,3.36,clear sky
51,North Battleford,CA,52.78,-108.28,75.2,33,1,11.41,clear sky
52,Cape Town,ZA,-33.93,18.42,59.0,87,20,9.17,few clouds
53,Thompson,CA,55.74,-97.86,55.4,93,90,3.36,light rain
54,Korla,CN,41.76,86.15,82.99,60,0,2.66,clear sky
55,Torbay,CA,47.67,-52.73,63.0,59,20,12.75,few clouds
56,Mazagao,BR,-0.12,-51.29,77.32,89,7,6.69,light rain
57,Mahibadhoo,MV,3.78,72.97,82.71,66,80,1.54,broken clouds
58,Ribeira Grande,PT,38.52,-28.7,73.35,89,3,10.36,clear sky
59,Jamestown,US,42.1,-79.24,79.0,69,1,4.7,clear sky
60,Ushuaia,AR,-54.8,-68.3,32.0,93,75,14.99,shower rain
61,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,3.36,overcast clouds
62,New Norfolk,AU,-42.78,147.06,50.0,80,9,1.01,clear sky
63,Sitka,US,57.05,-135.33,57.2,87,90,3.36,overcast clouds
64,Methoni,GR,36.82,21.7,81.0,60,0,7.05,clear sky
65,Bac Lieu,VN,9.29,105.72,81.0,82,67,6.53,broken clouds
66,Batemans Bay,AU,-35.72,150.18,55.0,64,0,5.99,clear sky
67,Parana,AR,-31.73,-60.52,62.01,48,0,1.99,clear sky
68,Taksimo,RU,56.34,114.88,58.14,74,100,0.6,overcast clouds
69,Saint Anthony,US,45.02,-93.22,89.01,45,5,6.93,clear sky
70,Wau,SS,7.7,28.0,70.25,93,100,4.09,overcast clouds
71,Mayo,US,38.89,-76.51,84.2,70,1,3.36,clear sky
72,Lagoa,PT,39.05,-27.98,72.99,90,0,14.34,clear sky
73,Ilhabela,BR,-23.78,-45.36,62.1,73,8,3.13,clear sky
74,Saldanha,ZA,-33.01,17.94,53.6,87,65,6.93,broken clouds
75,Jiangyou,CN,31.77,104.72,72.28,82,100,3.91,overcast clouds
76,Tasiilaq,GL,65.61,-37.64,37.4,100,0,5.82,fog
77,Saskylakh,RU,71.92,114.08,48.06,65,0,10.04,clear sky
78,Hirado,JP,33.36,129.55,90.0,83,20,11.41,few clouds
79,Rio Gallegos,AR,-51.62,-69.22,33.8,69,20,11.41,few clouds
80,Port Blair,IN,11.67,92.75,81.21,83,99,8.34,overcast clouds
81,Lethem,GY,3.38,-59.8,77.27,83,76,4.18,light rain
82,Poum,NC,-20.23,164.02,72.63,77,38,18.21,scattered clouds
83,Rikitea,PF,-23.12,-134.97,70.75,84,79,20.29,light rain
84,Verkhnevilyuysk,RU,63.45,120.32,51.37,56,0,3.71,clear sky
85,Kautokeino,NO,69.01,23.04,53.56,90,100,8.34,light rain
86,Grand Gaube,MU,-20.01,57.66,71.01,73,22,7.0,light rain
87,Atuona,PF,-9.8,-139.03,78.26,78,2,15.46,light rain
88,Hermanus,ZA,-34.42,19.23,55.0,95,100,5.82,overcast clouds
89,Port Elizabeth,ZA,-33.92,25.57,55.4,87,99,5.82,overcast clouds
90,Riyadh,SA,24.69,46.72,93.2,15,32,6.93,scattered clouds
