City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2020-08-23 19:25:19,42.1,-79.24,81.0,69,75,5.82
1,Cap Malheureux,MU,2020-08-23 19:28:37,-19.98,57.61,68.0,80,39,8.99
2,Asau,RO,2020-08-23 19:28:38,46.43,26.4,64.0,87,0,2.17
3,Aktau,KZ,2020-08-23 19:24:47,43.65,51.2,66.2,68,100,6.71
4,Busselton,AU,2020-08-23 19:28:38,-33.65,115.33,43.0,79,2,4.21
5,Hasaki,JP,2020-08-23 19:28:38,35.73,140.83,75.2,100,75,4.7
6,Santa Cruz,BO,2020-08-23 19:25:20,-17.8,-63.17,78.8,36,0,14.99
7,Amga,RU,2020-08-23 19:28:38,60.9,131.96,41.27,69,95,1.36
8,Pacific Grove,US,2020-08-23 19:27:50,36.62,-121.92,78.01,60,40,3.36
9,Rocha,UY,2020-08-23 19:28:38,-34.48,-54.33,63.03,57,0,10.25
10,Cefalu,IT,2020-08-23 19:28:38,38.04,14.02,78.01,85,0,1.99
11,Mount Isa,AU,2020-08-23 19:25:25,-20.73,139.5,44.6,39,64,1.12
12,Atuona,PF,2020-08-23 19:28:38,-9.8,-139.03,78.15,79,29,17.9
13,Aabenraa,DK,2020-08-23 19:28:28,55.04,9.42,60.8,87,75,9.17
14,Butaritari,KI,2020-08-23 19:28:38,3.07,172.79,83.03,68,100,10.54
15,San Quintin,MX,2020-08-23 19:28:38,30.48,-115.95,79.38,59,0,9.26
16,Fortuna,US,2020-08-23 19:28:38,40.6,-124.16,68.0,82,20,8.05
17,Punta Arenas,CL,2020-08-23 19:25:10,-53.15,-70.92,33.8,73,75,26.4
18,Ngunguru,NZ,2020-08-23 19:28:39,-35.62,174.5,54.0,3,68,13.0
19,Cape Town,ZA,2020-08-23 19:24:29,-33.93,18.42,60.01,82,40,10.29
20,Tuktoyaktuk,CA,2020-08-23 19:28:39,69.45,-133.04,62.6,67,40,13.87
21,Mataura,NZ,2020-08-23 19:28:39,-46.19,168.86,47.55,86,16,7.0
22,Saskylakh,RU,2020-08-23 19:28:39,71.92,114.08,40.03,86,0,7.38
23,Klaksvik,FO,2020-08-23 19:25:25,62.23,-6.59,48.2,76,57,10.29
24,Kruisfontein,ZA,2020-08-23 19:25:26,-34.0,24.73,55.0,87,98,1.01
25,Richards Bay,ZA,2020-08-23 19:28:39,-28.78,32.04,65.79,83,0,8.41
26,Kasur,PK,2020-08-23 19:28:39,31.12,74.45,86.0,79,20,8.16
27,Hermanus,ZA,2020-08-23 19:25:24,-34.42,19.23,57.0,94,100,5.37
28,Sinnamary,GF,2020-08-23 19:28:39,5.38,-52.95,84.56,71,57,11.1
29,Kabanjahe,ID,2020-08-23 19:28:39,3.1,98.49,75.2,100,40,4.7
30,Albany,US,2020-08-23 19:28:39,42.6,-73.97,82.99,65,75,9.17
31,Kapaa,US,2020-08-23 19:25:19,22.08,-159.32,82.4,74,40,12.75
32,Rikitea,PF,2020-08-23 19:28:39,-23.12,-134.97,69.89,83,43,22.82
33,Vaini,TO,2020-08-23 19:28:39,-21.2,-175.2,75.2,94,20,6.93
34,Plymouth,US,2020-08-23 19:28:40,41.83,-70.83,89.6,51,1,11.41
35,Katsuura,JP,2020-08-23 19:28:40,35.13,140.3,77.0,91,68,1.01
36,Saint-Pierre,RE,2020-08-23 19:28:40,-21.34,55.48,66.2,72,0,4.7
37,Barrow,US,2020-08-23 19:25:25,71.29,-156.79,39.2,100,90,6.93
38,Mae Sai,TH,2020-08-23 19:28:40,20.43,99.88,75.2,100,90,2.24
39,Bredasdorp,ZA,2020-08-23 19:28:40,-34.53,20.04,55.4,87,100,2.24
40,Avarua,CK,2020-08-23 19:28:40,-21.21,-159.78,75.2,69,0,10.29
41,Ballarat,AU,2020-08-23 19:28:40,-37.57,143.85,42.01,89,97,1.01
42,Thompson,CA,2020-08-23 19:28:40,55.74,-97.86,51.8,100,90,5.82
43,New Norfolk,AU,2020-08-23 19:25:22,-42.78,147.06,39.0,86,47,3.15
44,Sitka,US,2020-08-23 19:28:40,57.05,-135.33,60.8,77,90,4.7
45,Dikson,RU,2020-08-23 19:28:40,73.51,80.55,46.31,79,0,10.16
46,Fuxin,CN,2020-08-23 19:28:40,42.02,121.66,69.96,88,100,6.04
47,Ulaangom,MN,2020-08-23 19:28:40,49.98,92.07,55.63,65,43,3.11
48,Hilo,US,2020-08-23 19:28:40,19.73,-155.09,82.4,69,90,5.82
49,Bethel,US,2020-08-23 19:28:40,41.37,-73.41,88.0,51,20,10.29
50,Vilyuysk,RU,2020-08-23 19:28:40,63.76,121.62,39.74,81,0,4.74
